simulation_id,round,timestamp,centralized_loss,centralized_mta,centralized_asr,num_clients
,0,2025-10-25T01:40:11.076385,2.7085425428524137,0.0994,0.0,
,1,2025-10-25T01:41:18.189191,2.7715792276297404,0.1001,0.0,
,2,2025-10-25T01:41:54.468288,2.126866550961877,0.224,0.005859375,
,0,2025-10-25T01:44:00.595332,2.50669105493339,0.0989,0.0,
,0,2025-10-25T01:46:29.557234,2.6536108672998515,0.1,0.0,
,0,2025-10-25T02:06:37.885905,3.2968786233549663,0.0969,0.0,
,0,2025-10-25T02:16:18.438259,2.8244928994755836,0.1002,0.9990234375,
,0,2025-10-25T02:21:33.619195,2.3563721255891643,0.1,0.0,
,0,2025-10-25T02:26:08.232203,2.3739768365386187,0.0966,0.060546875,
,0,2025-10-25T02:28:28.385044,2.3213743723122175,0.0818,0.7490234375,
,0,2025-10-25T02:42:52.819345,2.521357662358861,0.1016,0.0,
,1,2025-10-25T02:44:07.883304,2.841268088407577,0.1,0.0,
,2,2025-10-25T02:45:03.554635,2.1248700003715078,0.2516,0.0,
,3,2025-10-25T02:45:57.518579,1.580674254970186,0.4297,0.0009765625,
,4,2025-10-25T02:46:52.858220,1.3597947070553045,0.5098,0.005859375,
,5,2025-10-25T02:47:46.422310,1.2340631598879577,0.5445,0.017578125,
,6,2025-10-25T02:48:40.381073,1.104763475572987,0.5968,0.015625,
,7,2025-10-25T02:49:37.247970,1.0643994026123338,0.6166,0.0263671875,
,8,2025-10-25T02:50:31.832776,0.974691800630776,0.6553,0.0283203125,
,9,2025-10-25T02:51:25.523075,1.0217024190410686,0.6461,0.037109375,
,10,2025-10-25T02:52:23.382172,0.8987603665916784,0.6843,0.03515625,
,0,2025-10-25T02:54:02.099429,2.536304812522451,0.1,0.0,
,1,2025-10-25T02:55:02.533318,2.4770525443326137,0.1048,0.0,
,2,2025-10-25T02:55:39.346513,2.223143271579864,0.1976,0.0,
,3,2025-10-25T02:56:18.292846,1.4972575158829902,0.4338,0.001953125,
,4,2025-10-25T02:56:55.722258,1.3221251098972977,0.5079,0.0185546875,
,5,2025-10-25T02:57:32.006409,1.1742736879427722,0.5688,0.01953125,
,6,2025-10-25T02:58:10.204522,1.1293797295564298,0.5902,0.025390625,
,7,2025-10-25T02:58:48.034541,0.994695569679236,0.6498,0.0419921875,
,8,2025-10-25T02:59:28.648525,0.9722187116647222,0.6645,0.0439453125,
,9,2025-10-25T03:00:06.027909,0.9307895507782128,0.6746,0.03125,
,10,2025-10-25T03:00:47.419568,0.9126301616620106,0.6806,0.0576171875,
,11,2025-10-25T03:01:29.242615,0.8645607646863172,0.703,0.0380859375,
,12,2025-10-25T03:02:10.476064,0.8728878611971618,0.7043,0.048828125,
,13,2025-10-25T03:02:51.679699,0.8363880429677902,0.7062,0.0498046875,
,14,2025-10-25T03:03:32.667434,0.8160000881951326,0.7232,0.0419921875,
,15,2025-10-25T03:04:11.516607,0.8023244829694177,0.7188,0.0595703125,
,16,2025-10-25T03:04:50.351206,0.8084391243518538,0.7232,0.07421875,
,17,2025-10-25T03:05:28.781158,0.8038486826951337,0.7234,0.0791015625,
,18,2025-10-25T03:06:07.809626,0.7689734980179246,0.7394,0.0625,
,19,2025-10-25T03:06:47.301114,0.7667807911991313,0.7388,0.0537109375,
,20,2025-10-25T03:07:22.375004,0.7639316024294325,0.7366,0.0693359375,
,21,2025-10-25T03:08:03.714571,0.7734637068715066,0.741,0.05078125,
,22,2025-10-25T03:08:44.986928,0.8078480277471481,0.733,0.0595703125,
,23,2025-10-25T03:09:24.835557,0.7655823957768215,0.7461,0.0517578125,
,24,2025-10-25T03:10:02.731317,0.7508415900597907,0.7507,0.0615234375,
,25,2025-10-25T03:10:39.989562,0.8315646853416588,0.728,0.052734375,
,26,2025-10-25T03:11:18.178135,0.7708361122258909,0.7386,0.068359375,
,27,2025-10-25T03:11:56.853681,0.7428380266116683,0.753,0.0712890625,
,28,2025-10-25T03:12:40.950291,0.7230124965215184,0.7544,0.0810546875,
,29,2025-10-25T03:13:23.755367,0.8489170752133534,0.7248,0.0498046875,
,30,2025-10-25T03:14:02.255539,0.7543850844832742,0.7448,0.09375,
,31,2025-10-25T03:14:43.222572,0.8867922368322968,0.7131,0.0595703125,
,32,2025-10-25T03:15:24.695604,0.8104841847708271,0.7343,0.0732421875,
,33,2025-10-25T03:16:02.212197,0.7615219498895536,0.7463,0.0810546875,
,34,2025-10-25T03:16:41.501723,0.7468727800496824,0.7517,0.0751953125,
,35,2025-10-25T03:17:21.229502,0.7613539232569895,0.7508,0.0654296875,
,36,2025-10-25T03:18:01.683841,0.7325564734875016,0.7569,0.0791015625,
,37,2025-10-25T03:18:41.604032,0.7536051732719324,0.751,0.0703125,
,38,2025-10-25T03:19:21.642144,0.7557940923484268,0.7508,0.06640625,
,39,2025-10-25T03:19:58.723718,0.7675835699032826,0.7483,0.052734375,
,40,2025-10-25T03:20:40.487700,0.7746041586064989,0.7453,0.06640625,
,41,2025-10-25T03:21:17.544518,0.7755484533537725,0.7517,0.06640625,
,42,2025-10-25T03:21:53.935804,0.7500103199557894,0.7551,0.0712890625,
,43,2025-10-25T03:22:34.207695,0.7460914749628419,0.7553,0.06640625,
,44,2025-10-25T03:23:16.322319,0.7333137793525769,0.7608,0.0556640625,
,45,2025-10-25T03:23:54.906703,0.7498914160925871,0.7533,0.0791015625,
,46,2025-10-25T03:24:31.139378,0.7644669745758081,0.7474,0.0712890625,
,47,2025-10-25T03:25:10.491619,0.7753406244858055,0.745,0.056640625,
,48,2025-10-25T03:25:47.364067,0.7288102758158544,0.7589,0.0859375,
,49,2025-10-25T03:26:29.443600,0.7142744540788566,0.766,0.1025390625,
,50,2025-10-25T03:27:09.570700,0.7693171000025075,0.7461,0.06640625,
,51,2025-10-25T03:27:51.774010,0.7669571545093682,0.7535,0.060546875,
,52,2025-10-25T03:28:31.585467,0.7643460075187075,0.7499,0.0673828125,
,53,2025-10-25T03:29:09.009961,0.7290036053794204,0.7661,0.0791015625,
,54,2025-10-25T03:29:50.780369,0.7285806527183314,0.7644,0.0703125,
,55,2025-10-25T03:30:30.212648,0.8165843779114401,0.7403,0.0869140625,
,56,2025-10-25T03:31:10.110333,0.7892301460360266,0.745,0.0771484375,
,57,2025-10-25T03:31:46.571463,0.7137903988741006,0.7665,0.072265625,
,58,2025-10-25T03:32:27.909144,0.7287948068919455,0.7622,0.0712890625,
,59,2025-10-25T03:33:06.598638,0.7580258755167578,0.7551,0.078125,
,60,2025-10-25T03:33:47.598968,0.7520720516420474,0.7543,0.0625,
,61,2025-10-25T03:34:26.462355,0.719199766209171,0.7565,0.080078125,
,62,2025-10-25T03:35:05.926542,0.7480950165706076,0.7587,0.06640625,
,63,2025-10-25T03:35:45.621262,0.7146363991081335,0.7619,0.0751953125,
,64,2025-10-25T03:36:24.950250,0.7395517362910471,0.7638,0.0986328125,
,65,2025-10-25T03:37:06.324765,0.73469067436115,0.7679,0.080078125,
,66,2025-10-25T03:37:45.863788,0.7503035036241932,0.7583,0.0546875,
,67,2025-10-25T03:38:25.407034,0.7528727149507802,0.7571,0.068359375,
,68,2025-10-25T03:39:05.008898,0.7016745519106555,0.7709,0.08984375,
,69,2025-10-25T03:39:41.636924,0.7565520430446431,0.7539,0.072265625,
,70,2025-10-25T03:40:20.147476,0.7411436112063705,0.7593,0.08203125,
,71,2025-10-25T03:40:59.355820,0.7682939323650044,0.7514,0.0693359375,
,72,2025-10-25T03:41:36.904863,0.7136933689664124,0.7644,0.064453125,
,73,2025-10-25T03:42:14.739937,0.7296100013954624,0.7595,0.0732421875,
,74,2025-10-25T03:42:52.832932,0.7569950298898539,0.757,0.06640625,
,75,2025-10-25T03:43:33.263533,0.7389505742841466,0.7616,0.078125,
,76,2025-10-25T03:44:13.707586,0.7461518432684006,0.7601,0.0771484375,
,77,2025-10-25T03:44:52.221332,0.7182201991794975,0.7676,0.0693359375,
,78,2025-10-25T03:45:32.989798,0.7856308937452401,0.7517,0.0615234375,
,79,2025-10-25T03:46:13.239518,0.739774962139737,0.76,0.0673828125,
,80,2025-10-25T03:46:51.822765,0.7612968269427112,0.7551,0.08984375,
,81,2025-10-25T03:47:32.852289,0.7528900925520878,0.7539,0.0771484375,
,82,2025-10-25T03:48:13.586504,0.7098590249468566,0.7708,0.0673828125,
,83,2025-10-25T03:48:53.253828,0.737634099213181,0.7584,0.080078125,
,0,2025-10-25T15:21:51.867431,2.663338902649606,0.1001,0.0,
,1,2025-10-25T15:22:52.255100,2.6710530572636113,0.1,0.0,
,2,2025-10-25T15:23:36.045562,2.4710567954239573,0.1292,0.0,
,3,2025-10-25T15:24:18.511006,1.6641692287603003,0.3897,0.01171875,
,4,2025-10-25T15:25:01.619664,1.4637181652579339,0.4632,0.0185546875,
,5,2025-10-25T15:25:45.122719,1.2797283450509334,0.5362,0.025390625,
,6,2025-10-25T15:26:29.124004,1.136482846585049,0.5901,0.0283203125,
,7,2025-10-25T15:27:13.709293,1.0969989212455264,0.6073,0.0322265625,
,8,2025-10-25T15:27:56.630983,1.000798867766265,0.6474,0.041015625,
,9,2025-10-25T15:28:40.374627,1.0033035115071922,0.6503,0.02734375,
,10,2025-10-25T15:29:23.885469,0.989160161109487,0.6533,0.04296875,
,11,2025-10-25T15:30:06.983802,0.9690678385412617,0.6628,0.04296875,
,12,2025-10-25T15:30:51.060166,0.9493641333215556,0.6745,0.0478515625,
,13,2025-10-25T15:31:34.580858,0.8536551959195714,0.7062,0.068359375,
,14,2025-10-25T15:32:18.209206,0.8218684515376,0.7134,0.060546875,
,15,2025-10-25T15:33:01.946763,0.8424248068955293,0.7113,0.076171875,
,0,2025-10-25T15:54:36.463293,3.4351656679894513,0.0991,0.0,
,1,2025-10-25T15:55:33.758326,2.5070325827142996,0.1,0.0,
,2,2025-10-25T15:56:17.292944,2.099689129051889,0.2543,0.01953125,
,3,2025-10-25T15:57:01.321417,1.5205426702074185,0.4332,0.0107421875,
,4,2025-10-25T15:57:44.440885,1.2306879819578427,0.5598,0.0654296875,
,5,2025-10-25T15:58:28.425377,1.1204799759160182,0.5962,0.037109375,
,6,2025-10-25T15:59:12.327157,1.0438252026867714,0.6222,0.048828125,
,7,2025-10-25T15:59:55.984878,0.9504483501622631,0.6606,0.0458984375,
,8,2025-10-25T16:00:38.875797,0.8967110860119959,0.6847,0.0498046875,
,9,2025-10-25T16:01:22.062205,0.8617683307380434,0.6953,0.0546875,
,10,2025-10-25T16:02:06.371911,0.8582216467067694,0.7067,0.0400390625,
,11,2025-10-25T16:02:50.043100,0.8196475817139741,0.7131,0.0654296875,
,12,2025-10-25T16:03:33.768061,0.7809427403340674,0.7299,0.078125,
,13,2025-10-25T16:04:17.666363,0.7974101840310795,0.7247,0.0576171875,
,14,2025-10-25T16:05:01.240675,0.7834316408558256,0.7273,0.0634765625,
,15,2025-10-25T16:05:45.555615,0.78221066571345,0.7329,0.05859375,
,16,2025-10-25T16:06:29.329707,0.8018822235286616,0.7278,0.0556640625,
,17,2025-10-25T16:07:12.826132,0.7609562103156071,0.7353,0.060546875,
,18,2025-10-25T16:07:56.143588,0.744851607425957,0.742,0.0712890625,
,19,2025-10-25T16:08:39.771741,0.7533268393224971,0.74,0.0673828125,
,20,2025-10-25T16:09:22.730647,0.7366917243429051,0.7461,0.0556640625,
,21,2025-10-25T16:10:07.170735,0.766166940995842,0.7381,0.0615234375,
,22,2025-10-25T16:10:50.832177,0.7911118312626128,0.7295,0.072265625,
,23,2025-10-25T16:11:34.863468,0.8201198600659705,0.7257,0.0810546875,
,24,2025-10-25T16:12:18.878282,0.7302500043705011,0.7521,0.0751953125,
,0,2025-10-25T16:50:07.272408,4.005757611268645,0.1,0.0,
,1,2025-10-25T16:51:00.331823,2.6455822704703946,0.1,0.0,
,2,2025-10-25T16:51:36.585246,2.3181490465334265,0.1774,0.0029296875,
